Name,Initial Distribution,Unpaid Bonus Factor,praisemaggedon,Final Distribution,Final Hours
zeptimusq,0.053211957598914485,0.9645205809806011,0.02050535034778772,0.03751278611837364,365.0524144985608
santigs67,0.048188966394050244,1.0,0.02125962965657042,0.035262884760059926,343.15769517154905
ygganderson,0.03895884520464662,0.9587096689747876,0.020381812510577208,0.030041869511493298,292.3498395084495
cranders71,0.03244728797899623,1.0035995981573653,0.021336155780308484,0.02711394452362611,263.85699221849393
solsista,0.02736035285984159,1.0087542893519528,0.021445742606099397,0.02452133993804534,238.6272862505136
mzargham,0.022432259549543608,1.0443238357328197,0.02220193798920883,0.022321705200582916,217.2217321711202
sembrestels,0.029459747255492292,0.67750323217769,0.014403467807227137,0.02223273312032502,216.35590811266147
iviangita,0.020554275700347967,0.8179376130325152,0.01738905073525048,0.019034967717101177,185.23713229677873
naynaysoo,0.019464023031313782,0.813674882069208,0.017298426653644977,0.018424536770032755,179.29677664287476
lkngtn,0.012364853210507655,1.0267637891548904,0.02182861790220993,0.016907460262524744,164.53347859571673
xgabi,0.01151909775179779,0.9828408078449924,0.020894831586149035,0.016019449992286387,155.89188390778565
laurenluz,0.01239065749154801,0.8613368297937518,0.0183117020109796,0.015232758860875172,148.23626760458586
divine_comedian,0.01086937354026604,0.8207298010374,0.017448411618165852,0.014027311817657949,136.5055645774102
akrtws,0.025754137702800984,1.008665806640798,0.0002537157448215503,0.013513935162970857,131.50968432609173
vyvy-vi#5040,0.009610303740011435,0.8262710783082566,0.017566217120768637,0.013429142162774892,130.6845286216757
durgadasji,0.017334250894884155,1.0,0.007870586296745379,0.012791691887777542,124.48123672871291
vitormarthendal,0.009925158294828977,0.7202743642479779,0.015312766235033718,0.012511210106127253,121.75175267249813
jessicazartler,0.013469167129224035,0.5017739131089239,0.01066752756402387,0.012124380137927956,117.98735049117391
juankbell,0.013647770566829162,0.46712084487205086,0.009930816166844084,0.011863632454836324,115.44990709821612
jeffemmett,0.008676490340961579,0.667705358603883,0.014195168643626101,0.01132545592624055,110.21268903154433
markop,0.010143867452718468,0.5715567039851673,0.012151083854454705,0.011107331325551861,108.09002845678262
fabiosmendes,0.005244464615853082,0.7775728175271219,0.016530910131642623,0.010661958463432061,103.75592119650278
mateodaza,0.013532876619990102,0.9319827323619848,0.007335250522131553,0.010558016093017998,102.74441506180456
