simulation,run,throttle,outflow_rate,target_reserve_ratio,valuation_ratio,productivity,growth,p_variance,p_pull,reserve,circulation,size,saturation,production,utility,price,target_price,netflow,adjustment,subset,substep,timestep,total_supply,market_cap,ratio
0,1,0.002,0.05,0.1,2,0.88,0,0.25,0.75,7473.0,18765.0,100000,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0,0,0,26238.0,262380.0,0.28481591584724447
0,1,0.002,0.05,0.1,2,0.88,0,0.25,0.75,7046.874000000001,19138.65,100000,0.004755699313621816,7024.62,0.6563555189450802,10.644464655125578,29.805305768707708,-373.65000000000003,-52.476,0,1,1,26185.524,278730.88469394256,0.269113346748379
0,1,0.002,0.05,0.1,2,0.88,0,0.25,0.75,6658.115133649149,19475.037818350855,100000,0.007468134263838803,12490.824642879601,1.1103860854904168,6.940909309910722,28.59556354108936,-336.3878183508516,-52.37104800000001,0,1,2,26133.152952000004,181387.84462185772,0.2547765723438892
0,1,0.002,0.05,0.1,2,0.88,0,0.25,0.75,6299.059479830464,19781.82716626554,100000,0.00840385285642888,14016.951695300631,1.2293743594162727,7.457880599658398,27.561013399438142,-306.7893479146857,-52.266305904000006,0,1,3,26080.886646096,194508.13853980915,0.24152014328751198
0,1,0.002,0.05,0.1,2,0.88,0,0.25,0.75,5962.4365462352835,20066.288326568527,100000,0.009237193224494424,15270.62494096867,1.3247629175940463,11.061648071299642,26.65934879169314,-284.4611603029881,-52.161773292192,0,1,4,26028.72487280381,287920.59428763925,0.22907140381913801
0,1,0.002,0.05,0.1,2,0.88,0,0.25,0.75,5646.906252154467,20329.761170903734,100000,0.011286906424275428,18025.28317814568,1.5272391383241652,11.74184481339258,25.85703884056161,-263.47284433520826,-52.05744974560762,0,1,5,25976.6674230582,305013.99765065993,0.2173837836928223
0,1,0.002,0.05,0.1,2,0.88,0,0.25,0.75,5356.258799618468,20568.455288593617,100000,0.013124556843981066,20191.45840068198,1.6799412095799489,16.03138250968586,25.140787204729314,-238.69411768988226,-51.953334846116405,0,1,6,25924.714088212088,415609.00800236984,0.20660821104499463
0,1,0.002,0.05,0.1,2,0.88,0,0.25,0.75,5088.800671277097,20784.063988758564,100000,0.016568259026120916,23707.879347418246,1.9164405268671372,21.421515652574037,24.511540850418637,-215.60870016494758,-51.84942817642417,0,1,7,25872.86466003566,554235.9752918835,0.19668485643715664
0,1,0.002,0.05,0.1,2,0.88,0,0.25,0.75,4850.208615077007,20970.910315638583,100000,0.02240812781964138,28606.3051505043,2.224331467810008,24.84630985840612,23.957614169439623,-186.8463268800176,-51.74572932007133,0,1,8,25821.11893071559,641559.5218433157,0.18783882402971416
0,1,0.002,0.05,0.1,2,0.88,0,0.25,0.75,4649.588331035417,21119.888361818743,100000,0.02954865622083053,33480.64260459326,2.5082770019149687,24.69939388803837,23.485536385256065,-148.9780461801593,-51.642237861431184,0,1,9,25769.476692854158,636490.4551254292,0.18043006408138437
0,1,0.002,0.05,0.1,2,0.88,0,0.25,0.75,4491.386360332407,21226.551379136043,100000,0.035091242476274036,36722.55891191126,2.6859180521607393,20.85619316501021,23.109063939019695,-106.66301731730064,-51.53895338570832,0,1,10,25717.93773946845,536378.27730006,0.17464022216056727
0,1,0.002,0.05,0.1,2,0.88,0,0.25,0.75,4367.231724561182,21299.270139428332,100000,0.0360430084171739,37243.23244330385,2.7136662245760856,21.864859638190122,22.831647434121216,-72.71876029228775,-51.43587547893691,0,1,11,25666.501863989513,561194.4606594759,0.17015297790496622
0,1,0.002,0.05,0.1,2,0.88,0,0.25,0.75,4255.401382120234,21359.7674781413,100000,0.03711214212380539,37817.11661860274,2.7440072428200937,23.44612606034213,22.63066051136896,-60.49733871296871,-51.333003727979026,0,1,12,25615.168860261536,600576.4781546423,0.16612817995987966
0,1,0.002,0.05,0.1,2,0.88,0,0.25,0.75,4155.391514169758,21408.547008371253,100000,0.03872904839158215,38664.206770245204,2.7883336061128237,31.04561225650319,22.45764297032694,-48.77953022995297,-51.230337720523075,0,1,13,25563.93852254101,793648.1231198933,0.16254895584675813
0,1,0.002,0.05,0.1,2,0.88,0,0.25,0.75,4068.9478155468173,21443.862829949114,100000,0.045700277709034606,42068.18905282841,2.9611265782507616,25.36733120128195,22.310708915777887,-35.31582157785871,-51.12787704508203,0,1,14,25512.81064549593,647191.9175198872,0.15948645847317316
0,1,0.002,0.05,0.1,2,0.88,0,0.25,0.75,4019.3104179878733,21442.474606217067,100000,0.04615973748742722,42280.13020901495,2.971611717455123,21.280164066008734,22.192808008611056,1.388223732047834,-51.025621290991864,0,1,15,25461.78502420494,541830.9627285253,0.15785658445262044
0,1,0.002,0.05,0.1,2,0.88,0,0.25,0.75,3975.415455000428,21435.4459991561,100000,0.0429756216489132,40781.701835799184,2.896804151676256,27.346396508027624,22.151290341509622,7.028607060965044,-50.92357004840988,0,1,16,25410.86145415653,694895.4929359199,0.15644552083259491
0,1,0.002,0.05,0.1,2,0.88,0,0.25,0.75,3919.832522606138,21440.207208642078,100000,0.0451240385505959,41800.398909401665,2.947833661321965,31.337794127348022,22.121487744150794,-4.761209485977304,-50.82172290831306,0,1,17,25360.039731248216,794727.7041592229,0.15456728633497313
0,1,0.002,0.05,0.1,2,0.88,0,0.25,0.75,3877.1036552043474,21432.21599658137,100000,0.04981004229700337,43917.085948509404,3.05155469616874,24.776818535625747,22.06744050559167,7.991212060706118,-50.72007946249643,0,1,18,25309.319651785718,627084.4202724413,0.15318877427551852
